Anforderung,Titel,umgesetzt,Hinweis
A_27016-01,PoPP-Verifier - Prüfung Signaturzertifikat via TI-PKI - Vorgaben,nein,
A_27260,"ZETA Guard, Telemetriedaten-Service, Weitergabe der Daten ohne Profilbildung",teilweise,
A_27261,"ZETA Guard, Telemetriedaten-Service, Protokoll",ja,
A_27264,"ZETA Guard, Telemetriedaten",teilweise,
A_27265,PEP HTTP Proxy - unveränderte Weiterleitung von Host Header und Request Zeile,nein,
A_27266,PEP HTTP Proxy - Protected Resource Metadata Well-known,ja,
A_27379-01,ZETA Client - OCSP Stapling Unterstützung,teilweise,
A_27401,PDP Policy Engine - Decision Eigenschaften,ja,
A_27438,Durchführung der Generalprobe,nein,
A_27492-02,"ZETA Guard, OpenTelemetry Unterstützung",ja,
A_27496,Zeta Guard-Komponenten - Aufbereitung von Client Daten zum Monitoring,teilweise,
A_27725-01,"ZETA Guard, Telemetriedaten Service, Status Codes",teilweise,
A_27727-01,"ZETA Guard, Telemetriedaten-Service, Lieferung",ja,
A_27798,"ZETA Guard, Service Discovery",ja,
A_27802-02,"ZETA Guard, JWT Prüfung",teilweise,
A_27867-01,PDP Authorization Server - Session Management in der PDP Datenbank,ja,
A_28144,PDP Authorisation Server -  Länge der Nonce,ja,
A_28420-01,"ZETA Guard, Service Discovery – Bereitstellung etag Header",nein,
A_28421-01,"ZETA Guard, Service Discovery – Unterstützung if-none-match-Header",nein,
A_28422,"ZETA Guard, Service Discovery - Cache-Control-Header Direktiven",nein,
A_28425-01,"ZETA Client, Service Discovery – if-none-match und etag",nein,
A_28426,"ZETA Client, Service Discovery",nein,
A_28431,"ZETA Guard, Ablauf Dienst-zu-Dienst Kommunikation",nein,
A_28432,"ZETA Guard, Komponenten Ingress optional",ja,
A_28439,PEP HTTP Proxy - Unterstützung Forwarded-Header,ja,
A_28440,PDP Authorization Server - Auswertung Forwarded-Header,ja,
A_28464,"ZETA Guard, genau ein Authorization Server",ja,
A_28465,"ZETA Client, Registrierung mit mehreren ZETA Guard",ja,
A_28525-01,PEP HTTP Proxy - Step-up-Bedingung,nein,
A_28527,PDP Authorization Server - Gültigkeitsdauer Access und Refresh Token,ja,
A_28782,Performance - Telemetriedatenlieferung - Konfiguration Datenlieferung ZETA Guard,nein,
A_28796,ZETA Guard - Korrelation der Telemetrie des Security Monitorings,nein,
A_28798,ZETA Guard - Ausführung in einem Kubernetes Cluster,nein,
A_28808,PDP Authorization Server - Löschfristen,nein,
A_28837,"PDP Authorization Server, Policy Prüfung bei Ausstellung Token-Set",ja,
A_28868,"TLS-Verbindung zwischen Zeta-Client und Zeta-Guard",teilweise,
A_28963,"ZETA Guard, DPoP Prüfung",ja,
GS-A_5526,TLS-Renegotiation-Indication-Extension,ja,
GS-A_5542,TLS-Verbindungen (fatal Alert bei Abbrüchen),ja,
TIP1-A_6519,Eigenverantwortlicher Test: Hersteller und Anbieter,nein,
TIP1-A_6519-01,Eigenverantwortlicher Test: Hersteller und Anbieter,nein,
